NONE,1,2,8,120,0.015,1
NONE,1,1,4,30,0.015,2
NONE,1,1,3,30,0.015,2
NONE,1,1,2,30,0.015,2
NONE,1,1,1,30,0.015,2
NONE,1,2,5,30,0.015,2
NONE,1,2,4,30,0.015,2
NONE,1,2,3,30,0.015,2
NONE,1,2,2,30,0.015,2
NONE,1,2,1,30,0.015,2
NONE,1,3,5,30,0.015,2
NONE,1,3,4,30,0.015,2
NONE,1,3,3,30,0.015,2
NONE,1,3,2,30,0.015,2
NONE,1,3,1,30,0.015,2
NONE,1,4,5,30,0.015,2
NONE,1,4,4,30,0.015,2
NONE,1,4,3,30,0.015,2
NONE,1,4,2,30,0.015,2
NONE,1,4,1,30,0.015,2
NONE,1,5,5,30,0.015,2
NONE,1,5,4,30,0.015,2
NONE,1,5,3,30,0.015,2
NONE,1,5,2,30,0.015,2
NONE,1,5,1,30,0.015,2
